tribunal,siglaTribunal,dadosBasicos.orgaoJulgador.codigoOrgao,ocorrencia,valido,nao_valido,freq1,freq2,freq3,freq4
trf,TRF4,44539,687,46,0,1,45,0,0
trf,TRF4,44530,59,7,0,1,6,0,0
trf,TRF4,44548,51,6,0,1,5,0,0
trf,TRF4,17817,36,3,0,0,2,1,0
trf,TRF4,12596,2437,16,0,0,6,6,4
trf,TRF4,12691,4047,22,0,2,9,7,4
trf,TRF4,17814,4525,32,0,3,17,8,4
trf,TRF4,44501,266,7,0,1,2,0,4
trf,TRF4,44406,2,1,0,0,1,0,0
trf,TRF4,44460,291,12,0,0,5,6,1
trf,TRF4,44532,125,6,0,0,6,0,0
trf,TRF4,44533,93,6,0,0,6,0,0
trf,TRF4,44535,169,5,0,0,5,0,0
trf,TRF4,44537,68,5,0,0,5,0,0
trf,TRF4,44540,125,5,0,0,5,0,0
trf,TRF4,44541,117,5,0,0,5,0,0
trf,TRF4,44542,53,4,0,0,4,0,0
trf,TRF4,44544,62,5,0,0,5,0,0
trf,TRF4,44545,123,5,0,0,5,0,0
trf,TRF4,44547,42,7,0,0,7,0,0
trf,TRF4,17805,92,6,0,1,1,4,0
trf,TRF4,44527,131,5,0,0,5,0,0
trf,TRF4,44536,143,6,0,0,6,0,0
trf,TRF4,44543,120,8,0,0,8,0,0
trf,TRF4,44550,150,6,0,0,6,0,0
trf,TRF4,11931,117,26,0,1,10,11,4
trf,TRF4,44534,359,21,0,2,19,0,0
trf,TRF4,44450,11,3,0,1,2,0,0
trf,TRF4,44451,3,2,0,0,2,0,0
trf,TRF4,44452,1,1,0,0,1,0,0
trf,TRF4,44453,7,1,0,0,1,0,0
trf,TRF4,44457,7,1,0,0,1,0,0
trf,TRF4,11960,2680,41,0,2,24,11,4
trf,TRF4,12588,5484,25,0,0,14,7,4
trf,TRF4,12670,2466,21,0,1,8,8,4
trf,TRF4,12671,2844,21,0,0,10,7,4
trf,TRF4,12672,2681,29,0,1,13,10,5
trf,TRF4,12695,4377,23,0,0,12,7,4
trf,TRF4,12696,3811,19,0,0,7,8,4
trf,TRF4,17985,351,10,0,0,4,2,4
trf,TRF4,44390,37,2,0,0,2,0,0
trf,TRF4,44415,15,2,0,0,2,0,0
trf,TRF4,44499,16,3,0,0,3,0,0
trf,TRF4,12654,2415,41,0,2,21,14,4
trf,TRF4,12688,2223,17,0,0,8,5,4
trf,TRF4,16427,3184,34,0,0,22,8,4
trf,TRF4,12609,118,2,0,0,1,1,0
trf,TRF4,12679,141,7,0,0,5,2,0
